glowy,prawd.,czas uczenia,czas testu,dokladnosc,wspolczynnik
1,1,20.6318707,0.1493139,0.36945,0
1,0.75,16.315478,0.142004,0.35812,0
1,0.5,12.2827945,0.1442576,0.35317,0
1,0.25,8.1288884,0.1451277,0.23468,0
5,1,50.0638689,0.1574117,0.43646,1.5654709
5,0.75,42.7184211,0.1571306,0.4481,1.4343277
5,0.5,33.3238803,0.1548615,0.44164,1.2699562
5,0.25,21.2147404,0.1582733,0.40445,1.2064845
7,1,64.7421391,0.1638697,0.42882,1.5289017
7,0.75,55.3016402,0.1639365,0.44518,1.3019253
7,0.5,43.2574194,0.1664785,0.44616,1.2711318
7,0.25,28.3633617,0.1616944,0.42634,1.1741169
10,1,88.5201721,0.1728863,0.432,1.4918614
10,0.75,97.8213972,0.1671167,0.43829,1.3937517
10,0.5,83.085705,0.166767,0.4388,1.2990738
10,0.25,54.9215474,0.1674345,0.43472,1.2150131
