glowy,prawd.,czas uczenia,czas testu,dokladnosc,wspolczynnik
1,1,10.6009365,0.1408575,0.35843,0
1,0.75,8.5518816,0.1415707,0.33977,0
1,0.5,6.5904703,0.1382239,0.30287,0
1,0.25,4.562278,0.1406123,0.23493,0
5,1,29.1102332,0.1627045,0.41369,1.5713368
5,0.75,25.2565242,0.1663524,0.43367,1.2927679
5,0.5,19.5878042,0.1661293,0.42242,1.3490875
5,0.25,12.6187002,0.1630878,0.402,1.2927243
7,1,35.6566341,0.1693629,0.4173,1.5658499
7,0.75,32.371413,0.1713039,0.43587,1.3553728
7,0.5,26.2581502,0.1707671,0.43298,1.2273103
7,0.25,17.2244188,0.168012,0.41514,1.1288627
10,1,48.017102,0.1761037,0.42253,1.3740301
10,0.75,63.2758302,0.170276,0.42238,1.3574535
10,0.5,60.3377477,0.1712314,0.4278,1.222278
10,0.25,37.5103477,0.1712123,0.40597,1.1512007
