wywolania,dropout trening,dropout test,t uczenia,t testu,dokladnosc,wspolczynnik
1,0.25,0.25,0.330045733711574,0.003106976887229,0.019307695644771,0
1,0.25,0.5,0.71960231222148,0.005036173592675,0.007664557680939,0
1,0.25,0.75,0.733670252442464,0.003488583736832,0.017413647266185,0
1,0.5,0.25,0.280997566747492,0.002777903598039,0.017965896705827,0
1,0.5,0.5,0.541187738250723,0.002902169081528,0.011381295571634,0
1,0.5,0.75,0.657822803902735,0.003064028075009,0.028223239045549,0
1,0.75,0.25,0.405989138710166,0.00399783808382,0.016757369854618,0
1,0.75,0.5,0.108134320446789,0.002951057859292,0.020533552488008,0
1,0.75,0.75,0.581039636438771,0.002468162843538,0.020121323680779,0
1,1,0.25,0.572578606705955,0.003484367356892,0.019138442987871,0
1,1,0.5,0.56653603230941,0.004047117944359,0.013695940193276,0
1,1,0.75,0.715657866220351,0.003739771028344,0.0191528036822,0
10,0.25,0.25,0.934042101602825,0.007287726172591,0.013385186671176,0.060332206184683
10,0.25,0.5,0.484316766340928,0.007976720549337,0.02403899840768,0.052148945405764
10,0.25,0.75,0.551465629146237,0.012940344532594,0.016049399434939,0.081372458062978
10,0.5,0.25,0.450535735804498,0.011110975365226,0.023311239539949,0.021088489975182
10,0.5,0.5,0.647768983556501,0.007060480850008,0.020611876296069,0.054361120427195
10,0.5,0.75,0.493748207713754,0.010172373179352,0.028044559781415,0.04250014955843
10,0.75,0.25,0.197232227803363,0.016209381830697,0.019495002208543,0.021878814775943
10,0.75,0.5,0.482441091975659,0.004693690663481,0.01625889158447,0.039029529504523
10,0.75,0.75,0.580369435796085,0.009963639819642,0.0146071862071,0.028867964753146
10,1,0.25,0.290339585494947,0.010532140966268,0.025455765555174,0.020275631476671
10,1,0.5,0.48384766435012,0.009046004115385,0.030778609094268,0.025587328660882
10,1,0.75,0.359965389738513,0.005949068002637,0.012761295649998,0.023857983676562
30,0.25,0.25,0.526475918006386,0.021013450211181,0.022061933027024,0.033517132783267
30,0.25,0.5,0.491796089912611,0.034048268345754,0.01299870078978,0.052926241772657
30,0.25,0.75,0.466196256480525,0.025478558115709,0.020878614790152,0.059411194487609
30,0.5,0.25,0.344557002290074,0.029422358370804,0.02804432998744,0.023211666056581
30,0.5,0.5,0.504595003775206,0.025473811711682,0.027688393075639,0.072041874428079
30,0.5,0.75,0.218256983181651,0.029082053714734,0.022695511058847,0.059082995871533
30,0.75,0.25,0.507129061533091,0.033566836729295,0.013209272837249,0.01623796853742
30,0.75,0.5,0.242292212002597,0.029392397260365,0.02774652931249,0.038294346971264
30,0.75,0.75,0.113670238892059,0.036929598903409,0.020098258631036,0.048825562671958
30,1,0.25,0.309181475015007,0.023187423383282,0.01950681077641,0.015008480601165
30,1,0.5,0.429582590888256,0.023546368301243,0.029174663665585,0.018925063492041
30,1,0.75,0.584354822683159,0.03659985186916,0.022039509976404,0.030863190467322
50,0.25,0.25,0.232779582199819,0.039804565184299,0.015615661653894,0.043219690068944
50,0.25,0.5,0.121808545980294,0.032654034792384,0.012313050890101,0.051566544030882
50,0.25,0.75,0.347879896383619,0.052832377458861,0.018501054024028,0.063222153800354
50,0.5,0.25,0.417138850019937,0.037844551781671,0.012616937469573,0.022979072663815
50,0.5,0.5,0.397344475023094,0.050788641582762,0.027171604868154,0.04490734758354
50,0.5,0.75,0.305422106778217,0.033169284762496,0.022607579849835,0.061090889390227
50,0.75,0.25,0.668097262966869,0.01243331803395,0.013880718040985,0.015497364247582
50,0.75,0.5,0.508465339928353,0.034958893559436,0.02488282763496,0.019426978253049
50,0.75,0.75,0.674946994935528,0.035023829867995,0.013268860790086,0.040349450125539
50,1,0.25,0.761783859910553,0.031672221338089,0.02690228408312,0.019125277575037
50,1,0.5,0.592595058833236,0.0476599956586,0.03391332907411,0.028676356130094
50,1,0.75,1.0192114983452,0.040410141391597,0.019495857109767,0.035266669345463
100,0.25,0.25,0.499124040706973,0.056157168827418,0.015220968723734,0.028742981565747
100,0.25,0.5,0.969723713363875,0.056893578671547,0.015782990140584,0.042057958347975
100,0.25,0.75,0.569187808293576,0.047216016835274,0.018479072247034,0.049228545955574
100,0.5,0.25,0.193852211704031,0.045723455831286,0.018147776111077,0.034572186952327
100,0.5,0.5,0.442306375570914,0.041083940044337,0.022253940974328,0.046944329661609
100,0.5,0.75,0.527263721639276,0.069899002040325,0.018089287806139,0.046570179743885
100,0.75,0.25,0.472459699948507,0.071384746932925,0.020332185759966,0.029788872715421
100,0.75,0.5,0.486695876661939,0.044887510002598,0.027437608010418,0.037735824341952
100,0.75,0.75,0.341331777148487,0.063329588667892,0.017137577295393,0.028958500045755
100,1,0.25,0.144662711588178,0.1414277080044,0.043382428598583,0.014238986849102
100,1,0.5,0.477500959006611,0.050591591919014,0.020660762597521,0.036828924988686
100,1,0.75,0.628288516559258,0.051230865197652,0.030767481029309,0.036237283767474
