heads,prob,t_train,t_test,accuracy,ratio
1,1,18.670086,0.14545,0.391,nan
1,0.75,14.88978,0.13092,0.3816,nan
1,0.5,11.246025,0.144032,0.3338,nan
1,0.25,7.318864,0.154498,0.2553,nan
5,1,49.512,0.154029,0.4303,1.466448
5,0.75,41.160532,0.158443,0.4531,1.405409
5,0.5,31.436277,0.15284,0.4379,1.41453
5,0.25,20.473343,0.160627,0.2882,1.287359
7,1,64.46012,0.160069,0.4321,1.782814
7,0.75,55.554407,0.165318,0.4416,1.343961
7,0.5,42.437222,0.164919,0.4509,1.261919
7,0.25,27.772672,0.160901,0.4399,1.148165
10,1,88.837263,0.172514,0.4306,1.517987
10,0.75,98.958452,0.176287,0.4465,1.468942
10,0.5,83.397822,0.165811,0.4502,1.323879
10,0.25,54.254789,0.176172,0.4376,1.212592
1,1,20.331178,0.142764,0.4166,nan
1,0.75,17.272918,0.144868,0.36,nan
1,0.5,12.882944,0.142684,0.3779,nan
1,0.25,8.553985,0.143686,0.3,nan
5,1,49.587243,0.156208,0.4392,1.344403
5,0.75,43.08674,0.158029,0.4445,1.521624
5,0.5,35.370696,0.156384,0.4413,1.309857
5,0.25,21.35014,0.160446,0.3836,1.231279
7,1,66.141286,0.169584,0.4216,1.327904
7,0.75,55.856861,0.16164,0.4341,1.445288
7,0.5,44.381239,0.172505,0.4388,1.411822
7,0.25,29.334737,0.167317,0.4284,1.068528
10,1,91.787732,0.173202,0.4318,1.498016
10,0.75,99.053271,0.16769,0.4355,1.379458
10,0.5,83.604023,0.168602,0.4351,1.2907
10,0.25,56.273395,0.166663,0.4309,1.26056
1,1,22.158873,0.149279,0.3941,nan
1,0.75,16.907673,0.140283,0.362,nan
1,0.5,12.826933,0.139494,0.3221,nan
1,0.25,7.877358,0.145803,0.0982,nan
5,1,49.33485,0.156445,0.4399,1.579408
5,0.75,41.759594,0.158707,0.4508,1.411713
5,0.5,31.967021,0.153287,0.4393,1.31026
5,0.25,20.981961,0.15615,0.4178,1.10996
7,1,65.486684,0.162567,0.4384,1.665952
7,0.75,55.028409,0.164081,0.452,1.50419
7,0.5,42.501128,0.174517,0.4487,1.234546
7,0.25,28.057287,0.161259,0.4257,1.185962
10,1,88.715722,0.174146,0.4408,1.67751
10,0.75,98.294751,0.16861,0.4463,1.401555
10,0.5,82.671813,0.16881,0.4371,1.17475
10,0.25,55.431909,0.176445,0.4341,1.284641
1,1,20.336668,0.149991,0.394,nan
1,0.75,16.309131,0.142791,0.2901,nan
1,0.5,12.537621,0.14359,0.3605,nan
1,0.25,8.168177,0.143296,0.3024,nan
5,1,48.76055,0.157701,0.4362,1.435059
5,0.75,42.183673,0.158341,0.4454,1.44115
5,0.5,31.968398,0.1537,0.4496,1.141045
5,0.25,21.308267,0.151515,0.4142,1.171764
7,1,63.577132,0.163399,0.4257,1.422518
7,0.75,54.76131,0.161486,0.438,1.403186
7,0.5,42.280629,0.166644,0.4459,1.189516
7,0.25,27.45822,0.162441,0.4121,1.149034
10,1,88.553306,0.171069,0.4268,1.678023
10,0.75,97.753359,0.168791,0.4239,1.391558
